M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
96,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
2,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
4,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
8,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
16,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
24,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
40,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
48,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
56,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
64,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
96,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
512,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
1024,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
2048,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
4096,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
8192,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
1,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
2,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
4,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
8,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
24,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
32,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
40,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
48,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
56,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
64,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
96,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
128,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
256,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
512,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
1024,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
2048,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
4096,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
4608,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
6144,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
7680,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
8192,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
9216,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
10752,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
12288,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
13824,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
15360,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16384,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16896,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18432,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
19219,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
19968,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
20969,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
21504,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
21678,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
22161,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
23040,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
24576,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
25600,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
26112,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
27648,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
29184,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
29554,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
30720,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
31232,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
32256,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
32768,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
33792,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
34087,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
35328,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
35488,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
36864,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
38400,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
39936,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
41472,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
43008,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
44544,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
46080,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
47616,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
49152,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
49190,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
50688,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
52224,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
53760,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
55296,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
56832,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
58368,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
59904,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
60928,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
61440,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
62279,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
62976,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
64512,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
65536,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
66048,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
67584,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
69120,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
70656,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
70709,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
71610,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
72192,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
73728,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
73928,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
75264,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
76800,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
78336,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
79872,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
81408,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
82944,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
84480,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
86016,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
87552,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
87883,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
88290,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
89088,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
90624,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
92160,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
93696,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
95232,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
96768,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
98304,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
1,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
2,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
4,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
8,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
16,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
24,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
32,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
40,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
48,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
56,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
64,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
96,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False
