tp_label,stage,rank,category,sub_kernel,total_time_us,call_count,avg_time_us
mi355x_isl100k,PREFILL,4,Other,void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_ad...,996.9,228,4.4
mi355x_isl100k,PREFILL,4,Other,"void at::native::vectorized_gather_kernel<16, long>",966.8,152,6.4
mi355x_isl100k,PREFILL,4,Other,_expand_page_indices_kernel.kd,876.6,210,4.2
mi355x_isl100k,PREFILL,4,Other,_dcp_local_seq_lens_kernel.kd,689.5,152,4.5
mi355x_isl100k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add...",683.1,27,25.3
mi355x_isl100k,PREFILL,4,Other,_chunk_metadata_kernel.kd,669.8,27,24.8
mi355x_isl100k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::compare_scalar_...",637.2,27,23.6
mi355x_isl100k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSe...",624.7,152,4.1
mi355x_isl100k,PREFILL,4,Other,_rejection_kernel.kd,623.2,67,9.3
mi355x_isl100k,PREFILL,4,Other,__amd_rocclr_fillBufferAligned.kd,617.2,143,4.3
mi355x_isl100k,PREFILL,4,Other,_compute_slot_mappings_kernel.kd,606.4,76,8.0
mi355x_isl100k,PREFILL,4,Other,_bias_kernel.kd,591.6,76,7.8
mi355x_isl100k,PREFILL,4,Other,precopy_mamba_align_fused_kernel.kd,582.0,76,7.7
mi355x_isl100k,PREFILL,4,Other,"void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true>",498.1,76,6.6
mi355x_isl100k,PREFILL,4,Other,_compute_local_logits_stats_kernel.kd,448.6,67,6.7
mi355x_isl100k,PREFILL,4,Other,"void vllm::rotary_embedding_kernel<c10::BFloat16, float, false>",420.3,76,5.5
mi355x_isl100k,PREFILL,4,Other,preprocess_mamba_align_fused_kernel.kd,395.7,76,5.2
mi355x_isl100k,PREFILL,4,Other,_scatter_num_accepted_kernel.kd,392.0,76,5.2
mi355x_isl100k,PREFILL,4,Other,_gather_block_tables_kernel.kd,382.1,76,5.0
mi355x_isl100k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16tofloat...",371.4,76,4.9
mi355x_isl100k,PREFILL,4,Other,_prepare_pos_seq_lens_kernel.kd,364.9,76,4.8
mi355x_isl100k,PREFILL,4,Other,postprocess_mamba_fused_kernel.kd,362.3,76,4.8
mi355x_isl100k,PREFILL,4,Other,_post_update_kernel.kd,334.4,76,4.4
mi355x_isl100k,PREFILL,4,Other,_apply_write_kernel.kd,208.9,17,12.3
mi355x_isl100k,PREFILL,4,Other,_prepare_prefill_inputs_kernel.kd,207.9,9,23.1
mi355x_isl100k,PREFILL,4,Other,_expand_idx_mapping_kernel.kd,173.9,67,2.6
mi355x_isl100k,PREFILL,4,Other,_zero_kv_blocks_kernel.kd,64.6,8,8.1
mi355x_isl100k,PREFILL,4,Other,__amd_rocclr_streamOpsWrite.kd,24.2,7,3.5
mi355x_isl100k,PREFILL,4,Quantization,dynamic per-group quant,18691.7,828,22.6
mi355x_isl100k,PREFILL,4,Sampling,Sampling,3490.2,827,4.2
mi355x_isl100k,PREFILL,4,Sampling,ArgMax/Reduce,2755.0,541,5.1
mi355x_isl100k,PREFILL,4,Triton Fused,Triton fused op,6711.8,1760,3.8
mi355x_isl100k,PREFILL,5,Activation,SiLU/SwiGLU,1615.0,380,4.2
mi355x_isl100k,PREFILL,5,Attention,aiter attn,928085.2,480,1933.5
mi355x_isl100k,PREFILL,5,Attention,MLA attn residual,543762.1,14212,38.3
mi355x_isl100k,PREFILL,5,Attention,MLA merge states,24490.7,288,85.0
mi355x_isl100k,PREFILL,5,Communication,NCCL/RCCL,1856368.1,4289,432.8
mi355x_isl100k,PREFILL,5,Communication,CustomAR 2-stage,261164.7,14015,18.6
mi355x_isl100k,PREFILL,5,Communication,CustomAR 1-stage,57403.6,6164,9.3
mi355x_isl100k,PREFILL,5,GEMM,hipBLASLt (Cijk),1643125.2,28782,57.1
