tp_label,stage,rank,category,sub_kernel,total_time_us,call_count,avg_time_us
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::",936.3,228,4.1
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_expand_page_indices_kernel.kd,875.8,211,4.2
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void at::native::vectorized_gather_kernel<16, long>",866.3,151,5.7
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_dcp_local_seq_lens_kernel.kd,682.2,151,4.5
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_rejection_kernel.kd,640.7,68,9.4
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_bias_kernel.kd,632.9,75,8.4
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSe...",617.9,150,4.1
k3_conc1_dcp8_isl84k,PREFILL,4,Other,__amd_rocclr_fillBufferAligned.kd,610.7,143,4.3
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_compute_slot_mappings_kernel.kd,564.3,76,7.4
k3_conc1_dcp8_isl84k,PREFILL,4,Other,void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>...,552.8,228,2.4
k3_conc1_dcp8_isl84k,PREFILL,4,Other,precopy_mamba_align_fused_kernel.kd,531.1,76,7.0
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true>",482.3,75,6.4
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_compute_local_logits_stats_kernel.kd,462.6,68,6.8
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void vllm::rotary_embedding_kernel<c10::BFloat16, float, false>",407.5,75,5.4
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_scatter_num_accepted_kernel.kd,396.4,75,5.3
k3_conc1_dcp8_isl84k,PREFILL,4,Other,postprocess_mamba_fused_kernel.kd,376.9,75,5.0
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16tofloat...",368.8,75,4.9
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_post_update_kernel.kd,358.7,75,4.8
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_gather_block_tables_kernel.kd,353.8,76,4.7
k3_conc1_dcp8_isl84k,PREFILL,4,Other,preprocess_mamba_align_fused_kernel.kd,344.2,76,4.5
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_prepare_pos_seq_lens_kernel.kd,329.3,76,4.3
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_apply_write_kernel.kd,196.4,17,11.6
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_expand_idx_mapping_kernel.kd,176.0,68,2.6
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::compare_scalar_...",147.6,24,6.1
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_prepare_prefill_inputs_kernel.kd,145.8,8,18.2
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_chunk_metadata_kernel.kd,144.5,24,6.0
k3_conc1_dcp8_isl84k,PREFILL,4,Other,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add...",135.8,24,5.7
k3_conc1_dcp8_isl84k,PREFILL,4,Other,_zero_kv_blocks_kernel.kd,51.2,6,8.5
k3_conc1_dcp8_isl84k,PREFILL,4,Other,__amd_rocclr_streamOpsWrite.kd,16.8,5,3.4
k3_conc1_dcp8_isl84k,PREFILL,4,Quantization,dynamic per-group quant,15414.7,736,20.9
k3_conc1_dcp8_isl84k,PREFILL,4,Sampling,Sampling,3451.4,819,4.2
k3_conc1_dcp8_isl84k,PREFILL,4,Sampling,ArgMax/Reduce,2732.0,532,5.1
k3_conc1_dcp8_isl84k,PREFILL,4,Triton Fused,Triton fused op,6770.3,1783,3.8
k3_conc1_dcp8_isl84k,PREFILL,5,Activation,SiLU/SwiGLU,1662.9,375,4.4
k3_conc1_dcp8_isl84k,PREFILL,5,Attention,aiter attn,667802.6,408,1636.8
k3_conc1_dcp8_isl84k,PREFILL,5,Attention,MLA attn residual,478834.1,14212,33.7
k3_conc1_dcp8_isl84k,PREFILL,5,Attention,MLA merge states,17728.5,240,73.9
k3_conc1_dcp8_isl84k,PREFILL,5,Communication,NCCL/RCCL,1556694.9,3792,410.5
k3_conc1_dcp8_isl84k,PREFILL,5,Communication,CustomAR 2-stage,272811.2,14378,19.0
k3_conc1_dcp8_isl84k,PREFILL,5,Communication,CustomAR 1-stage,59622.3,6256,9.5
k3_conc1_dcp8_isl84k,PREFILL,5,GEMM,hipBLASLt (Cijk),1309683.8,28256,46.4
k3_conc1_dcp8_isl84k,PREFILL,5,GEMM,AITER hgemm bf16,253405.6,30874,8.2
k3_conc1_dcp8_isl84k,PREFILL,5,GEMM,AITER flydsl MoE,159502.8,6256,25.5
k3_conc1_dcp8_isl84k,PREFILL,5,GEMM,AITER wfp4 batched,16554.8,3264,5.1
k3_conc1_dcp8_isl84k,PREFILL,5,GEMM,rocBLAS splitK,11691.1,532,22.0
k3_conc1_dcp8_isl84k,PREFILL,5,KDA Linear Attn,KDA gated-delta,379603.8,6348,59.8
k3_conc1_dcp8_isl84k,PREFILL,5,KDA Linear Attn,KDA conv1d,85554.1,6348,13.5
k3_conc1_dcp8_isl84k,PREFILL,5,KDA Linear Attn,KDA gate/state,64583.9,2760,23.4
k3_conc1_dcp8_isl84k,PREFILL,5,KDA Linear Attn,KDA GLA,31162.5,552,56.5
k3_conc1_dcp8_isl84k,PREFILL,5,Memory,Fill,10074.1,1931,5.2
k3_conc1_dcp8_isl84k,PREFILL,5,Memory,Memcpy,241.9,26,9.3
k3_conc1_dcp8_isl84k,PREFILL,5,MoE Routing,MoE sort mxfp4,160209.3,22448,7.1
k3_conc1_dcp8_isl84k,PREFILL,5,MoE Routing,AITER grouped_topk,110534.1,6992,15.8
k3_conc1_dcp8_isl84k,PREFILL,5,Normalization,Add+RMSNorm+quant,51965.2,7967,6.5
k3_conc1_dcp8_isl84k,PREFILL,5,Normalization,LayerNorm,36979.1,5244,7.1
k3_conc1_dcp8_isl84k,PREFILL,5,Normalization,RMSNorm,11208.1,1824,6.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void opus_moe::stage1_a8w4::pipeline_group_split::opus_moe_stage1_a8w4_kernel...,485681.9,736,659.9
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void opus_moe_stage2_a8w4_decode_kernel_gfx950<OpusMoeStage2A8W4DecodeShape<o...,361963.6,736,491.8
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_ZN5aiter24bf16gemm_bf16_tn_256x256E.kd,316561.5,587,539.3
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void gemm_a16w16_persistent_4g_safe_kernel<opus_gemm_a16w16_persistent_traits...,180959.4,580,312.0
k3_conc1_dcp8_isl84k,PREFILL,5,Other,gemm2_a4w4_port_hmax8192_imax8192_bm32_bn128_bk128_atomic_a8_g2ks2_bhoist_apf...,90034.6,6256,14.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void opus_moe_stage2_reduce_token_slot_route_output_kernel_gfx950<3584, 448, ...",89350.7,552,161.9
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_ZN5aiter45mla_a8w8_qh32_qseqlen4_gqaratio32_lse_cprr_psE.kd,72444.2,2007,36.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_ker...",55442.8,6579,8.4
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void vllm::situ_and_mul_kernel<c10::BFloat16>,48215.9,7068,6.8
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void vllm::gather_and_maybe_dequant_cache_page<__hip_bfloat16, unsigned char, ",47819.4,240,199.2
k3_conc1_dcp8_isl84k,PREFILL,5,Other,__amd_rocclr_copyBuffer.kd,43348.9,6550,6.6
k3_conc1_dcp8_isl84k,PREFILL,5,Other,mscclKernel_Sum_hip_bfloat16_Simple_false,22698.6,1632,13.9
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void kn_mla_reduce_v1<MlaReduceKernelV1Traits<512, 128, 1>, float, std::bfloa...",21546.1,1632,13.2
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void gqa_d192_v128_kernel<opus_gqa_d192_traits<32, 64, 8, true, true> >",21209.8,24,883.7
k3_conc1_dcp8_isl84k,PREFILL,5,Other,void at::native::,21109.6,1434,14.7
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void kn_get_mla_metadata_v1_2<MlaMetadataV12Traits<128, true, 0, true, false> >",15092.4,211,71.5
k3_conc1_dcp8_isl84k,PREFILL,5,Other,"void vllm::concat_and_cache_mla_kernel<__hip_bfloat16, unsigned char, ",13468.7,2199,6.1
k3_conc1_dcp8_isl84k,PREFILL,5,Other,_dcp_a2a_pack_send_kernel.kd,12164.6,2007,6.1
