M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
554,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
562,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
569,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
575,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
578,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
579,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
584,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
586,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
605,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
607,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
617,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
621,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
626,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
631,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
633,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
635,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
637,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
643,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
644,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
647,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
649,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
662,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
666,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
679,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
687,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
694,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
712,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
722,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
723,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
727,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
732,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
733,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
734,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
735,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
736,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
738,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
746,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
754,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
765,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
766,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
768,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
772,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
775,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
777,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
779,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
786,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
793,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
794,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
798,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
827,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
828,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
833,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
835,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
836,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
837,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
842,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
843,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
853,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
862,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
863,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
869,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
872,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
873,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
